Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,RiskPerTradePct,MaxDailyLossPct,MaxWeeklyLossPct,AsianOpenHour,NYOpenHour,NYCloseHour,MinutesBeforeNYClose,AggressiveTrailHoursBeforeClose,NewsWindowMinutes,ATR_Period,ATR_Multiplier,PartialTakeProfitRR,ExtendedTakeProfitRR,NY_Precision_ADX_Level
3237,9.05,79247.53,260.68266,1.72579,3.67754,9.05136,0,8.01,304,0.5,2,5,9,16,17,15,2,118,49,1.65,10.92,5.76,204
3413,9.05,79247.53,260.68266,1.72579,3.67754,9.05136,0,8.01,304,0.5,2,5,9,16,17,15,2,118,49,1.65,10.92,5.76,48
4602,9.39,81751.91,327.00764,1.83606,3.76356,9.38619,0,8.01,250,0.5,2,5,9,16,20,15,2,118,33,1.5,2.04,24,93
3846,8.85,74881.84,246.32184,1.68976,3.49761,8.84510,0,8.01,304,0.5,2,5,9,16,17,15,2,120,49,1.65,10.92,4.8,87
1810,5.86,41624.08,85.64626,1.35473,1.89258,5.85502,0,8.01,486,0.5,2,5,9,27,17,22,13,237,37,1.8,8.76,13.44,123
5473,2.98,36599.03,123.64537,1.23197,1.50202,2.97560,0,8.01,296,0.5,2,29,4,14,17,15,2,30,14,1.5,9.72,5.28,117
7131,3.09,38885.18,133.16843,1.25055,1.58300,3.09393,0,8.02,292,0.5,2,32.5,4,14,17,15,2,30,14,1.5,10.68,5.28,117
8590,3.09,38885.18,133.16843,1.25055,1.58300,3.09393,0,8.02,292,0.5,2,32.5,4,14,17,15,2,30,14,1.5,10.68,5.28,126
8836,3.09,38885.18,133.16843,1.25055,1.58300,3.09393,0,8.02,292,0.5,2,31.5,4,14,17,15,2,30,14,1.5,10.68,5.28,117
9007,3.09,38885.18,133.16843,1.25055,1.58300,3.09393,0,8.02,292,0.5,2,30.5,4,14,17,15,2,30,14,1.5,10.68,5.28,117
9160,3.09,38885.18,133.16843,1.25055,1.58300,3.09393,0,8.02,292,0.5,2,32,4,14,17,15,2,30,14,1.5,10.68,5.28,117
9379,3.09,38885.18,133.16843,1.25055,1.58300,3.09393,0,8.02,292,0.5,2,31.5,4,14,17,15,2,37,14,1.5,10.68,5.28,165
3191,6.37,95581.76,293.19558,1.56265,4.21395,6.36960,0,8.02,326,0.55,2,5,8,136,18,15,2,61,16,1.5,10.8,28.8,216
793,0.24,1653.10,2.63233,1.01624,0.07819,0.23933,0,8.02,628,0.5,2,13,1,69,17,15,14,97,127,2.7,4.08,26.88,165
4584,10.01,51271.89,146.49111,1.55003,2.36827,10.01485,0,8.03,350,0.5,2,5,9,16,17,15,2,118,74,1.5,1.2,12.48,138
3653,9.12,80091.44,265.20344,1.73363,3.70675,9.11673,0,8.03,302,0.5,2,5,9,16,17,15,2,142,48,1.65,10.92,5.76,96
3538,6.77,41494.99,138.31663,1.43880,1.96110,6.77072,0,8.04,300,0.5,2,5,9,115,17,30,2,142,91,1.5,2.52,24,204
4182,9.04,45793.72,130.83920,1.53471,2.12287,9.03980,0,8.04,350,0.5,2,5,9,59,17,15,2,118,90,1.5,1.2,26.88,192
4095,9.04,45793.72,130.83920,1.53471,2.12287,9.03980,0,8.04,350,0.5,2,5,9,64,17,15,2,118,90,1.5,1.2,26.88,192
4064,8.87,75220.77,250.73590,1.71944,3.52140,8.87088,0,8.04,300,0.5,14.8,13.5,9,16,17,15,2,30,48,1.65,4.44,27.36,192
2097,3.59,27594.23,45.08861,1.20000,1.29469,3.59005,0,8.04,612,0.5,2,5,5,109,17,15,17,134,14,1.5,1.2,24,204
2313,3.59,27594.23,45.08861,1.20000,1.29469,3.59005,0,8.04,612,0.5,2,5,5,109,17,15,17,134,14,1.5,1.2,26.88,219
151,-0.54,-11725.79,-977.14917,0.40384,-0.58329,-0.54228,0,8.04,12,1.2,9,26,6,18,136,49,10,108,60,12.45,3.12,8.16,288
4489,4.32,25137.09,65.80390,1.23090,1.16566,4.32038,0,8.04,382,0.5,14.4,7.5,7,120,17,15,2,158,126,1.5,1.2,43.2,45
2848,6.14,44157.35,101.27833,1.38435,2.00022,6.14480,0,8.04,436,0.5,2,5,9,128,17,127,10,237,14,1.5,6.96,19.2,99
691,4.82,49290.87,99.37675,1.33835,1.93592,4.82455,0,8.04,496,0.5,14.8,32.5,8,64,17,127,10,81,17,1.5,10.68,36.48,66
2411,4.82,49290.87,99.37675,1.33835,1.93592,4.82455,0,8.04,496,0.5,14.8,32.5,8,48,17,127,10,81,17,1.5,10.68,36.48,66
2553,4.82,49290.87,99.37675,1.33835,1.93592,4.82455,0,8.04,496,0.5,15,32.5,8,64,17,127,10,81,17,1.5,10.68,36.48,66
2281,6.41,45775.29,104.03475,1.39195,2.06374,6.41076,0,8.04,440,0.5,2,5,9,27,17,127,17,236,14,1.5,11.52,7.2,174
883,0.20,1441.84,2.10181,1.01364,0.06836,0.20019,0,8.04,686,0.5,2,13,1,69,17,15,14,97,63,2.7,8.28,33.12,168
2262,4.85,49608.18,100.01649,1.34014,1.94556,4.84764,0,8.05,496,0.5,14.8,32.5,8,64,17,127,10,81,17,1.5,10.92,27.36,51
2457,4.85,49608.18,100.01649,1.34014,1.94556,4.84764,0,8.05,496,0.5,14.8,32.5,8,16,17,127,10,81,17,1.5,10.92,27.36,51
3577,5.54,37624.62,85.51050,1.32716,1.71586,5.54241,0,8.05,440,0.5,2,5,9,104,17,127,10,253,14,1.5,10.92,5.76,204
5079,7.46,53553.58,166.31547,1.52379,2.47942,7.46024,0,8.05,322,0.5,3.4,5,9,129,17,15,3,142,91,1.5,4.44,47.04,177
5660,10.05,50047.30,152.58323,1.62547,2.31641,10.05221,0,8.05,328,0.5,2,5,9,16,17,15,2,142,91,1.5,1.2,24,60
8236,3.87,48868.68,124.66500,1.28614,2.31636,3.86814,0,8.06,392,0.5,2,17,6,17,17,15,2,30,14,1.5,6.96,7.2,198
8809,3.87,48868.68,124.66500,1.28614,2.31636,3.86814,0,8.06,392,0.5,2,13,6,17,17,15,2,30,14,1.5,6.96,7.2,198
10563,3.87,48868.68,124.66500,1.28614,2.31636,3.86814,0,8.06,392,0.5,2,16.5,6,17,17,15,2,142,14,1.5,6.96,7.2,198
3204,5.05,35056.82,73.34063,1.27599,1.61668,5.05236,0,8.06,478,0.5,2,5,9,32,17,15,18,92,16,1.5,4.44,6.24,87
2737,6.05,30709.91,63.97898,1.27730,1.41769,6.04703,0,8.06,480,0.55,4.8,5,9,115,17,15,17,36,99,1.5,1.2,8.16,174
1073,1.19,10427.62,17.91687,1.05398,0.47306,1.19294,0,8.06,582,0.5,11.6,21.5,2,64,17,15,2,92,14,1.5,1.2,4.8,138
3526,1.19,10427.62,17.91687,1.05398,0.47306,1.19294,0,8.06,582,0.5,11.6,24.5,2,110,17,15,2,30,14,1.5,1.2,4.8,189
2448,0.52,4235.89,7.05982,1.03117,0.19127,0.51909,0,8.07,600,0.5,2,5,7,36,21,63,15,150,113,2.1,6,37.92,213
3333,6.39,31984.86,104.52569,1.42075,1.50286,6.39036,0,8.07,306,0.5,2,21,9,49,17,15,2,110,80,1.95,1.44,12.48,138
3994,6.39,31984.86,104.52569,1.42075,1.50286,6.39036,0,8.07,306,0.5,2,5,9,115,17,15,2,110,80,1.95,1.44,12.48,138
3812,9.45,46792.47,141.79536,1.57107,2.15923,9.44500,0,8.07,330,0.5,2,5,9,16,17,15,2,118,90,1.5,1.2,26.88,192
4541,9.45,46792.47,141.79536,1.57107,2.15923,9.44500,0,8.07,330,0.5,2,5,9,16,17,15,2,118,90,1.5,1.2,16.32,219
1792,2.98,16684.90,27.17410,1.11575,0.78255,2.98078,0,8.08,614,0.5,2,25.5,7,63,17,15,14,50,14,1.5,1.2,4.8,63
11194,3.76,45100.31,113.31736,1.26025,2.12522,3.75647,0,8.08,398,0.5,2,17,6,17,17,15,2,30,17,1.5,6.96,7.2,198
4993,9.60,45371.80,140.03642,1.55659,2.10070,9.59556,0,8.09,324,0.5,2,5,9,16,17,142,2,118,73,1.65,1.32,24,252
2304,8.09,66518.50,217.38072,1.58945,3.03183,8.08894,0,8.09,306,0.5,14.8,13.5,9,83,17,15,2,30,16,1.5,3.6,12.48,78
2864,8.09,66518.50,217.38072,1.58945,3.03183,8.08894,0,8.09,306,0.5,14.8,13.5,9,25,17,15,2,30,16,1.5,3.6,12.48,78
3508,8.09,66518.50,217.38072,1.58945,3.03183,8.08894,0,8.09,306,0.5,14.8,13.5,9,64,17,15,2,30,16,1.5,3.6,12.48,78
3917,6.96,36768.02,99.37303,1.33269,1.70599,6.96077,0,8.09,370,0.5,2,5,9,32,17,15,2,120,113,1.5,1.56,4.8,210
2453,5.59,42820.19,91.49613,1.34078,1.87275,5.58606,0,8.11,468,0.5,2,5,9,115,17,127,18,284,32,1.5,10.68,36.48,66
9521,-1.41,-5436.84,-24.93963,0.85812,-0.25821,-1.40942,0,8.12,218,0.5,13.8,12.5,0,110,17,15,2,286,15,8.7,1.32,38.88,51
9503,-1.41,-5436.84,-24.93963,0.85812,-0.25821,-1.40942,0,8.12,218,0.5,14,16.5,0,110,17,15,2,286,15,8.7,1.32,22.08,30
11075,-1.41,-5436.84,-24.93963,0.85812,-0.25821,-1.40942,0,8.12,218,0.5,13.8,12.5,0,110,17,15,2,286,15,8.7,1.32,35.52,51
2766,4.88,32564.63,74.68952,1.29240,1.47249,4.88408,0,8.13,436,0.5,2,5,9,64,17,22,13,237,110,1.5,8.28,48,216
866,0.27,2409.65,3.04249,1.01292,0.11357,0.26544,0,8.14,792,0.5,2,13,1,69,17,15,14,97,15,1.5,1.2,46.56,165
4956,7.58,41403.16,137.09656,1.47680,1.91578,7.57611,0,8.15,302,0.5,3.4,5,9,16,17,15,2,110,112,1.5,1.56,18.72,99
7513,-1.77,-8550.80,-32.88769,0.85427,-0.40897,-1.76822,0,8.15,260,0.5,14.4,6.5,0,106,17,15,2,158,17,5.7,1.2,31.68,156
2438,5.55,45324.65,96.84754,1.35557,2.03457,5.55349,0,8.15,468,0.5,2,5,9,115,17,15,18,284,16,1.5,9.6,8.16,189
2913,8.27,76892.32,249.65039,1.68235,3.41369,8.26537,0,8.15,308,0.5,2,5,9,64,17,23,2,120,49,1.65,12,24,177
3147,8.27,76892.32,249.65039,1.68235,3.41369,8.26537,0,8.15,308,0.5,2,5,9,115,17,23,2,120,49,1.65,12,24,177
5067,8.94,49405.06,160.40604,1.58997,2.28188,8.94497,0,8.16,308,0.5,3.4,5,9,16,17,15,2,110,91,1.5,1.56,16.8,99
2783,-1.08,-9483.39,-18.89122,0.94721,-0.44829,-1.08248,0,8.16,502,0.5,2,5,0,14,17,15,2,30,14,1.5,1.2,8.16,30
4451,8.70,46776.83,123.74823,1.42784,2.15147,8.69634,0,8.16,378,0.5,2,21,9,33,17,15,2,110,91,1.5,1.56,4.8,135
856,0.08,7317.74,914.71750,1.41034,0.35636,0.08177,0,8.16,8,2.4,9,35,4,20,63,106,15,160,21,12,5.28,29.28,297
2826,6.02,48511.29,109.75405,1.41758,2.13020,6.01659,0,8.17,442,0.5,2,5,9,128,17,30,10,237,14,1.5,10.68,26.4,204
7349,-1.59,-7823.89,-30.09189,0.86660,-0.37334,-1.58743,0,8.17,260,0.5,14.4,6.5,0,106,17,15,2,30,16,5.7,1.2,31.68,156
10967,17.54,622913.43,4983.30744,2.68874,8.01336,17.54361,0,8.18,125,3.15,3.6,5,9,129,17,19,2,192,77,1.5,5.04,6.24,129
4147,11.87,620491.82,3087.02398,2.05362,9.19033,11.87340,0,8.18,201,2.9,17.2,5.5,8,71,17,15,2,110,24,1.65,2.88,47.52,225
3421,8.28,44533.90,117.19447,1.39942,2.04251,8.27506,0,8.18,380,0.5,2,5,9,64,17,15,2,120,90,1.5,1.56,4.8,66
5176,8.28,44533.90,117.19447,1.39942,2.04251,8.27506,0,8.18,380,0.5,2,5,9,128,17,15,2,120,90,1.5,1.56,4.8,87
859,1.14,18880.62,944.03100,2.00624,0.87394,1.13918,0,8.18,20,2.15,10.6,15.5,0,86,43,24,8,169,28,10.05,1.2,32.64,177
1509,1.14,18880.62,944.03100,2.00624,0.87394,1.13918,0,8.18,20,2.15,10.6,15.5,0,136,43,24,8,169,28,10.05,1.2,32.64,177
5508,3.58,47550.95,111.62195,1.23308,2.19497,3.57585,0,8.19,426,0.5,2,37,3,45,17,15,2,30,14,1.5,5.04,4.8,123
1731,3.54,21432.98,37.60172,1.16786,0.98112,3.54391,0,8.19,570,0.5,2,28.5,6,131,17,127,16,55,15,1.5,1.2,19.68,144
2412,3.26,19457.36,33.89784,1.15036,0.89715,3.25867,0,8.19,574,0.5,2,28.5,6,131,17,127,16,55,15,1.5,1.2,15.84,30
2258,3.53,21173.33,37.01631,1.16597,0.97004,3.52867,0,8.20,572,0.5,2,28.5,6,131,17,127,16,55,15,1.5,1.2,13.92,156
2440,3.55,21185.05,37.03680,1.16605,0.97053,3.54529,0,8.20,572,0.5,2,28.5,6,131,17,127,16,55,15,1.5,1.2,12.48,99
